"Block Group","Census Tract","County","State","total_population","total_hous_units","total_occ_hous_units","total_vac_hous_units","total_own_occ_units","total_rent_occ_units","total_for_rent_units","total_rented_non_occ","total_for_sale_units","total_sold_non_occ_units","med_rent_over_income","owner_hous_val_25th_per","owner_hous_val_50th_per","owner_hous_val_75th_per","med_owner_cost_mortg","med_owner_cost_no_mortg","med_cost_over_income_mortg","med_cost_over_income_no_mortg","med_hous_cost","med_fam_income","med_non_fam_income","med_rent_0_bed","med_rent_1_bed","med_rent_2_bed","med_rent_3_bed","med_rent_4_bed","med_rent_5_plus_bed","med_rent","tot_white","tot_black","tot_native","tot_asian","tot_pacific","tot_other","tot_two_plus","median_age","median_male_age","median_female_age","tot_households","family_households","family_married_households","family_other_households","non_family_households","non_family_households_alone","non_family_households_not_alone","two_person_family","three_person_family","four_person_family","five_person_family","six_person_family","seven_plus_person_family","one_person_nonfamily","two_person_nonfamily","three_person_nonfamily","four_person_nonfamily","five_person_nonfamily","six_person_nonfamily","seven_plus_person_nonfamily","labor_force","civilian_labor_force","civilian_labor_force_employ","civilian_labor_force_unemploy","military_labor_force","non_labor_force","agg_income_deficit","agg_income_deficit_married","agg_income_deficit_nonmarried","agg_income_deficit_no_wife","agg_income_deficit_no_husband","median_household_income","median_hh_income_own","median_hh_income_rent","no_schooling_completed","nursery_school","kindergarten","first_grade","second_grade","third_grade","fourth_grade","fifth_grade","sixth_grade","seventh_grade","eigth_grade","ninth_grade","tenth_grade","eleventh_grade","twelfth_grade_no_diploma","regular_high_school_diploma","ged_or_alternative_credential","some_college_less_than_1_year","some_college_1_or_more_years_no_degree","associates_degree","bachelors_degree","masters_degree","professional_school_degree","doctorate_degree","commute_car_truck_or_van","commute_drove_alone","commute_carpooled","commute_in_2_person_carpool","commute_in_3_person_carpool","commute_in_4_person_carpool","commute_in_5_or_6_person_carpool","commute_in_7_or_more_person_carpool","commute_public_transportation_excluding_taxicab","commute_bus_or_trolley_bus","commute_streetcar_or_trolley_car","commute_subway_or_elevated","commute_railroad","commute_ferryboat","commute_taxicab","commute_motorcycle","commute_bicycle","commute_walked","commute_other_means","commute_worked_at_home","hh_income_less_than_10000","hh_income_10000_to_14999","hh_income_15000_to_19999","hh_income_20000_to_24999","hh_income_25000_to_29999","hh_income_30000_to_34999","hh_income_35000_to_39999","hh_income_40000_to_44999","hh_income_45000_to_49999","hh_income_50000_to_59999","hh_income_60000_to_74999","hh_income_75000_to_99999","hh_income_100000_to_124999","hh_income_125000_to_149999","hh_income_150000_to_199999","hh_income_200_000_or_more","workers_no_vehicle_available","workers_1_vehicle_available","workers_2_vehicles_available","workers_3_vehicles_available","workers_4_vehicles_available","workers_5_plus_vehicles_available"
"Block Group 4","Census Tract 106","St. Joseph County","Indiana",1628,547,466,81,177,289,24,0,0,0,38.6,71800,84800,110500,798,283,16.3,16.6,NA,53750,17173,NA,NA,NA,NA,NA,NA,617,1324,163,0,58,0,2,81,21.4,21.5,21.4,466,186,97,89,280,239,41,97,25,52,3,0,9,239,41,0,0,0,0,0,899,899,862,37,0,520,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,190,18,44,184,59,58,51,0,0,501,437,64,46,8,0,10,0,44,44,0,0,0,0,0,0,8,196,0,61,24,74,104,82,13,37,10,9,8,12,70,23,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 106","St. Joseph County","Indiana",474,270,190,80,113,77,0,29,0,0,50,53500,67900,87800,1063,262,24.2,10,NA,44464,55850,NA,NA,NA,NA,NA,NA,892,365,18,17,0,0,0,74,33.3,28.4,33.7,190,113,52,61,77,65,12,60,17,23,7,0,6,65,12,0,0,0,0,0,271,271,234,37,0,37,207900,NA,207900,NA,207900,NA,NA,NA,0,0,0,0,0,0,0,0,0,9,6,20,0,8,0,73,15,21,33,28,51,9,0,8,215,192,23,12,11,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,6,34,0,0,0,24,11,7,17,39,21,31,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 108","St. Joseph County","Indiana",1015,451,440,11,326,114,0,0,11,0,27.2,114000,169100,254400,1165,420,16.5,10,NA,83194,15694,NA,NA,NA,NA,NA,NA,335,1006,9,0,0,0,0,0,58.2,58,58.3,440,279,233,46,161,158,3,190,35,39,15,0,0,158,3,0,0,0,0,0,444,444,418,26,0,457,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,31,18,10,18,11,255,28,74,95,75,147,26,15,12,381,381,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,28,46,51,27,18,0,8,18,25,21,9,48,76,34,12,22,25,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 108","St. Joseph County","Indiana",660,300,252,48,156,96,9,0,10,0,28.6,68500,82700,105000,904,335,22.5,11.5,NA,35893,22750,NA,NA,NA,NA,NA,NA,538,628,7,3,22,0,0,0,32,31.3,34.3,252,168,131,37,84,84,0,68,46,29,14,11,0,84,0,0,0,0,0,0,318,318,300,18,0,199,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,10,48,0,2,148,25,47,108,24,42,10,0,2,261,252,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,5,34,11,51,26,13,18,13,0,17,14,29,0,13,8,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 108","St. Joseph County","Indiana",1925,648,636,12,558,78,0,0,0,0,22.2,122900,165600,193100,1124,396,17.6,10,NA,77411,40903,NA,NA,NA,NA,NA,NA,881,1894,3,0,10,0,0,18,38.6,39.4,37.5,636,497,405,92,139,124,15,180,100,130,76,11,0,124,15,0,0,0,0,0,996,996,964,32,0,486,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,2,15,3,17,296,15,115,191,151,292,100,7,0,889,757,132,118,11,0,0,3,6,0,0,0,6,0,0,0,0,11,9,31,14,0,3,18,13,49,15,40,3,70,116,97,142,20,23,13,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 108","St. Joseph County","Indiana",975,399,323,76,285,38,0,0,0,0,18.8,109700,178700,242000,1135,408,17.9,10,NA,83261,45139,NA,NA,NA,NA,NA,NA,713,975,0,0,0,0,0,0,41.3,43.1,40,323,272,254,18,51,40,11,131,29,66,29,17,0,40,0,9,2,0,0,0,529,529,507,22,0,248,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,203,50,63,35,62,105,37,12,18,492,459,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,9,5,20,26,0,18,9,23,50,109,42,5,7,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 110","St. Joseph County","Indiana",2404,940,940,0,910,30,0,0,0,0,NA,125700,141500,168400,1128,320,17.9,10,NA,85640,50185,NA,NA,NA,NA,NA,NA,NA,2115,163,0,11,0,113,2,44.4,42.9,46.4,940,630,607,23,310,268,42,258,234,120,0,18,0,268,7,35,0,0,0,0,1371,1371,1297,74,0,638,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,0,0,0,1,0,0,15,21,40,28,523,184,216,222,31,343,181,32,39,1240,1153,87,79,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,14,14,27,38,0,26,88,0,134,71,295,79,56,28,54,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 110","St. Joseph County","Indiana",551,353,285,68,273,12,0,0,0,0,NA,76100,89300,121600,968,257,16.5,23.8,NA,NA,14740,NA,NA,NA,NA,NA,NA,NA,520,31,0,0,0,0,0,47.6,47.8,46.6,285,110,72,38,175,148,27,62,15,33,0,0,0,148,27,0,0,0,0,0,275,275,275,0,0,186,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,35,12,0,212,61,14,80,23,24,0,0,0,249,203,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,50,14,13,22,31,12,13,0,0,15,27,48,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 110","St. Joseph County","Indiana",1659,645,645,0,622,23,0,0,0,0,NA,141000,186600,273600,1212,464,14.9,10,NA,85417,35625,NA,NA,NA,NA,NA,NA,NA,1609,28,0,22,0,0,0,56.3,55.5,56.9,645,553,507,46,92,55,37,363,65,81,35,9,0,55,37,0,0,0,0,0,839,839,780,59,0,589,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,0,0,0,0,0,27,0,0,17,36,18,14,260,0,76,230,59,288,134,70,0,722,694,28,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,27,15,0,0,0,14,59,37,29,51,51,120,58,49,34,101,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 115.01","St. Joseph County","Indiana",2353,1916,1250,666,41,1209,666,0,0,0,31.4,10100,NA,26800,NA,421,NA,NA,NA,NA,28063,NA,NA,NA,NA,NA,NA,695,1721,454,0,111,0,0,67,35.6,33.3,39.4,1250,315,243,72,935,764,171,122,68,60,18,47,0,764,156,0,0,15,0,0,1226,1226,1151,75,0,600,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,0,0,0,0,0,0,0,19,20,122,109,54,579,0,104,141,0,193,80,129,40,1101,1082,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,213,118,183,89,119,112,97,18,98,64,33,47,33,0,0,26,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 115.01","St. Joseph County","Indiana",1326,912,812,100,191,621,42,42,0,0,32.2,63200,73500,117200,841,235,12.9,10,NA,43580,21485,NA,NA,NA,NA,NA,NA,570,956,157,0,81,0,33,99,53.3,49.5,54.7,812,286,226,60,526,502,24,209,34,18,25,0,0,502,24,0,0,0,0,0,883,883,811,72,0,386,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,30,0,0,13,0,300,7,148,171,202,98,81,0,0,775,705,70,16,54,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,86,35,135,125,29,88,24,57,71,69,0,31,44,18,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 14","St. Joseph County","Indiana",676,369,297,72,243,54,23,0,37,0,29.7,48400,73800,86300,867,283,17.9,13.1,NA,55282,16953,NA,NA,NA,NA,NA,NA,631,651,0,0,0,0,10,15,38.8,38.8,32.9,297,199,155,44,98,98,0,103,54,42,0,0,0,98,0,0,0,0,0,0,356,356,318,38,0,190,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,50,0,10,9,0,99,50,7,80,10,145,14,0,31,275,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37,9,15,32,14,66,0,31,13,14,47,40,16,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 14","St. Joseph County","Indiana",467,363,297,66,263,34,18,0,31,0,35.8,59700,67300,91900,799,185,21.7,11.8,NA,50625,31917,NA,NA,NA,NA,NA,NA,793,355,31,0,0,0,0,81,48.5,39.9,52.1,297,110,74,36,187,151,36,101,9,0,0,0,0,151,36,0,0,0,0,0,359,359,347,12,0,97,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,139,11,7,93,14,40,69,0,11,297,288,9,9,0,0,0,0,15,15,0,0,0,0,0,0,11,6,0,7,0,6,8,77,20,15,14,21,8,59,46,16,0,7,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 14","St. Joseph County","Indiana",1367,685,571,114,202,369,44,0,0,0,26.7,53500,62800,71900,737,277,21.2,13.3,NA,27250,26944,NA,NA,NA,NA,NA,NA,703,978,244,0,0,0,0,145,33.1,29.3,33.8,571,311,164,147,260,177,83,69,156,63,23,0,0,177,83,0,0,0,0,0,646,646,555,91,0,403,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7,20,0,32,0,217,12,137,202,97,64,85,0,16,535,438,97,39,0,58,0,0,20,20,0,0,0,0,0,0,0,0,0,0,78,80,19,40,44,52,0,70,0,79,58,0,43,0,0,8,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 14","St. Joseph County","Indiana",554,240,190,50,129,61,17,0,0,0,22.4,49000,75700,105800,1038,336,22.2,11.7,NA,78542,40125,NA,NA,NA,NA,NA,NA,771,300,241,0,0,0,3,10,36.5,38.9,23.9,190,79,79,0,111,61,50,21,0,6,42,10,0,61,36,14,0,0,0,0,339,339,329,10,0,75,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,51,0,14,63,103,61,0,0,0,322,289,33,33,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,20,38,0,30,0,17,7,56,10,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 29","St. Joseph County","Indiana",1188,426,332,94,171,161,25,8,8,0,50,43600,54600,98300,1054,374,22.8,13.4,NA,38218,NA,NA,NA,NA,NA,NA,NA,658,394,618,0,0,0,78,98,29.1,21.9,31.7,332,271,93,178,61,58,3,79,97,49,34,7,5,58,3,0,0,0,0,0,520,520,462,58,0,327,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,2,0,0,0,0,0,0,1,15,20,50,14,212,33,41,113,8,134,11,7,0,439,372,67,67,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,70,23,12,12,3,14,83,15,6,33,39,0,6,16,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 13","St. Joseph County","Indiana",823,426,426,0,402,24,0,0,0,0,NA,20200,NA,94200,974,398,20.3,10,NA,57829,36607,NA,NA,NA,NA,NA,NA,NA,720,103,0,0,0,0,0,54.6,51.6,55,426,163,134,29,263,245,18,87,10,39,27,0,0,245,18,0,0,0,0,0,430,430,375,55,0,301,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,25,9,13,15,0,194,17,47,57,17,171,52,12,12,350,350,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,7,8,16,46,34,49,38,0,38,84,45,29,22,10,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 13","St. Joseph County","Indiana",1371,953,608,345,156,452,301,44,0,0,29,62200,87200,135200,995,275,22.3,10,NA,49821,21471,NA,NA,NA,NA,NA,NA,740,791,480,0,27,10,14,49,32.8,32.9,30.6,608,330,185,145,278,260,18,153,89,52,36,0,0,260,18,0,0,0,0,0,724,714,650,64,10,276,854200,NA,854200,NA,854200,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,9,29,63,23,11,215,89,78,128,8,202,34,0,21,536,452,84,74,10,0,0,0,75,75,0,0,0,0,0,0,0,23,0,0,104,53,39,71,50,22,9,34,43,55,54,37,18,19,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 109","St. Joseph County","Indiana",2987,1328,1255,73,1207,48,0,0,0,0,NA,124300,177700,252400,1410,278,16.8,10,NA,112313,34286,NA,NA,NA,NA,NA,NA,NA,2804,107,0,22,0,0,54,46.3,44.9,46.9,1255,919,904,15,336,290,46,546,187,105,62,19,0,290,17,0,29,0,0,0,1599,1599,1582,17,0,820,NA,NA,NA,NA,NA,NA,NA,NA,70,13,0,0,0,0,0,0,0,0,27,30,14,10,17,547,32,175,263,284,573,161,92,16,1494,1451,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9,13,64,30,16,118,64,31,14,84,68,178,139,166,127,134,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 109","St. Joseph County","Indiana",1101,493,456,37,402,54,0,0,0,0,NA,104500,150000,172600,930,339,19.8,10,NA,73984,45378,NA,NA,NA,NA,NA,NA,NA,1050,15,0,18,0,0,18,44.2,35.8,48.5,456,341,259,82,115,115,0,186,44,111,0,0,0,115,0,0,0,0,0,0,602,592,592,0,10,237,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,14,0,0,16,16,316,18,51,65,131,109,15,0,0,572,538,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,54,14,18,0,19,36,0,56,49,37,50,70,27,17,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 109","St. Joseph County","Indiana",1460,623,546,77,534,12,0,0,0,39,NA,83600,114100,176500,966,282,20.6,10.3,NA,62833,26462,NA,NA,NA,NA,NA,NA,NA,1141,319,0,0,0,0,0,43.7,29.7,52,546,414,312,102,132,120,12,215,89,66,0,44,0,120,12,0,0,0,0,0,691,691,691,0,0,488,NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,0,0,0,16,0,0,0,13,0,13,17,13,316,16,94,94,87,241,28,11,0,691,604,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,16,78,29,60,55,0,71,30,46,89,27,17,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 109","St. Joseph County","Indiana",2286,878,878,0,787,91,0,0,0,0,NA,110500,140600,174400,986,322,15.3,10,NA,67813,34427,NA,NA,NA,NA,NA,NA,NA,2286,0,0,0,0,0,0,48.7,50,47.8,878,711,562,149,167,138,29,374,184,83,70,0,0,138,29,0,0,0,0,0,1138,1138,1076,62,0,769,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,24,12,17,46,729,15,188,264,129,234,70,0,0,1030,981,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,61,17,14,90,0,46,49,41,26,94,217,46,101,43,18,15,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 115.03","St. Joseph County","Indiana",1339,511,485,26,415,70,0,0,16,10,19.5,88900,126400,233700,970,316,17.9,11.2,NA,59571,33958,NA,NA,NA,NA,NA,NA,599,1259,34,0,6,3,0,37,42.5,41,46.5,485,354,269,85,131,84,47,174,74,27,64,15,0,84,42,0,5,0,0,0,642,642,592,50,0,398,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,0,0,0,6,0,0,18,11,10,34,135,47,208,44,63,94,41,97,89,25,5,527,494,33,27,6,0,0,0,19,0,0,0,19,0,0,0,0,0,0,46,15,21,13,15,5,38,18,18,32,118,33,59,52,10,17,21,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 115.03","St. Joseph County","Indiana",565,300,275,25,256,19,0,0,0,5,NA,80300,92500,156800,966,298,28.1,15.7,NA,57250,18333,NA,NA,NA,NA,NA,NA,NA,565,0,0,0,0,0,0,54,55.3,51.5,275,111,79,32,164,127,37,70,6,27,0,8,0,127,37,0,0,0,0,0,285,285,249,36,0,235,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,12,41,13,4,146,34,37,48,22,92,24,0,0,236,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,46,14,20,11,5,4,37,10,10,22,53,0,6,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 119","St. Joseph County","Indiana",1075,438,373,65,339,34,0,0,0,65,NA,118700,138300,162400,1020,341,15.8,10,NA,74306,23333,NA,NA,NA,NA,NA,NA,NA,963,25,0,10,0,24,53,44.8,47.1,43.2,373,295,269,26,78,78,0,173,31,38,32,11,10,78,0,0,0,0,0,0,600,600,555,45,0,283,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,1,0,0,0,0,0,0,0,0,0,11,0,233,0,62,173,54,140,62,0,9,494,486,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,55,11,35,0,12,11,33,23,20,11,10,42,84,25,26,23,7,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 119","St. Joseph County","Indiana",1289,622,523,99,439,84,0,0,0,28,14.6,120800,209600,289800,1377,497,19.4,10,NA,89250,24607,NA,NA,NA,NA,NA,NA,NA,1190,13,0,0,0,21,65,58,51.9,61.4,523,370,310,60,153,146,7,270,9,54,10,23,4,146,7,0,0,0,0,0,539,539,511,28,0,608,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,57,0,0,17,21,13,0,340,0,21,83,101,182,163,13,42,407,386,21,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,73,13,0,73,47,36,14,15,10,20,23,21,71,85,43,10,42,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 119","St. Joseph County","Indiana",1862,783,776,7,630,146,0,0,0,7,17.5,81300,128400,185700,1158,495,20.6,10.9,NA,66607,38000,NA,NA,NA,NA,NA,NA,1010,1579,122,0,12,11,18,120,41.1,42.5,39.5,776,500,405,95,276,269,7,261,103,91,22,12,11,269,0,7,0,0,0,0,979,979,968,11,0,424,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,11,0,0,18,22,44,51,298,55,74,178,246,162,65,33,22,879,798,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,30,42,0,26,34,31,72,58,81,60,113,93,66,19,27,24,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 123","St. Joseph County","Indiana",649,225,193,32,193,0,0,0,0,0,NA,100800,137500,243800,1042,394,19.7,15.1,NA,48250,NA,NA,NA,NA,NA,NA,NA,NA,534,0,0,0,25,0,90,55.4,53.6,57.3,193,159,141,18,34,34,0,51,59,36,9,0,4,34,0,0,0,0,0,0,320,320,313,7,0,261,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,0,0,0,2,6,0,7,20,152,0,25,90,83,58,53,0,18,286,253,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,0,8,2,0,28,9,9,21,5,8,16,40,14,19,0,14,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 123","St. Joseph County","Indiana",862,360,344,16,266,78,2,0,0,0,20.9,94800,157800,282100,1129,336,22.7,10.9,NA,87875,36106,NA,NA,NA,NA,NA,NA,733,759,0,0,28,0,0,75,45,42.8,49.1,344,197,184,13,147,123,24,138,21,7,2,0,29,123,24,0,0,0,0,0,395,395,383,12,0,271,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,32,38,82,86,88,90,0,0,364,317,47,41,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,26,30,15,56,20,24,36,2,55,33,32,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 123","St. Joseph County","Indiana",1258,465,432,33,410,22,0,0,9,0,NA,139600,192300,318300,1445,409,17.8,12.9,NA,73500,36250,NA,NA,NA,NA,NA,NA,NA,1258,0,0,0,0,0,0,52.9,53.2,52.5,432,356,328,28,76,73,3,222,59,16,13,22,24,73,3,0,0,0,0,0,688,688,673,15,0,387,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,338,62,88,122,100,200,70,16,2,612,592,20,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,19,12,9,32,31,14,22,0,69,40,41,50,32,34,27,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 123","St. Joseph County","Indiana",888,493,396,97,258,138,32,8,0,0,27.1,74800,94600,139400,927,344,18.1,21,NA,56635,23125,NA,NA,NA,NA,NA,NA,765,827,0,5,49,0,0,7,45,45.9,42.1,396,229,148,81,167,160,7,108,58,27,34,0,2,160,7,0,0,0,0,0,470,470,436,34,0,265,277900,144500,133400,NA,133400,NA,NA,NA,20,2,0,0,0,0,0,0,0,0,7,21,28,35,4,235,24,28,145,34,19,40,0,0,413,374,39,15,7,17,0,0,0,0,0,0,0,0,0,0,0,7,0,7,32,34,33,38,2,32,10,14,11,66,45,41,26,12,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 6","St. Joseph County","Indiana",483,200,155,45,81,74,13,0,0,10,34.1,43700,72000,79500,833,313,19,15.4,NA,28000,NA,NA,NA,NA,NA,NA,NA,563,347,87,0,44,0,0,5,25.4,13.9,28.7,155,76,42,34,79,70,9,10,12,13,11,23,7,70,4,0,5,0,0,0,203,203,166,37,0,86,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,11,11,0,0,7,24,24,52,23,4,26,41,0,9,131,128,3,0,0,0,0,3,10,10,0,0,0,0,0,0,3,6,0,16,36,4,14,10,28,10,5,6,0,5,23,14,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 6","St. Joseph County","Indiana",998,417,299,118,173,126,24,0,11,11,22.5,32200,51200,66700,700,313,18.1,23.3,NA,53889,16520,NA,NA,NA,NA,NA,NA,951,347,517,0,0,0,38,96,33.5,24.4,37.7,299,204,95,109,95,91,4,85,61,6,2,7,43,91,0,4,0,0,0,0,472,472,395,77,0,270,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,0,0,0,0,0,0,6,4,23,4,62,8,249,53,18,74,11,33,9,6,4,288,220,68,37,31,0,0,0,90,90,0,0,0,0,0,0,5,5,0,0,27,16,68,19,7,4,11,5,12,81,44,5,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 6","St. Joseph County","Indiana",893,384,261,123,59,202,11,0,10,11,38.8,29900,58600,67800,771,344,28.2,10,NA,24375,21875,NA,NA,NA,NA,NA,NA,822,339,507,5,0,0,0,42,21.1,18.5,22.1,261,168,44,124,93,71,22,11,38,62,31,4,22,71,22,0,0,0,0,0,367,367,317,50,0,151,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,14,14,69,0,36,0,79,13,41,44,36,7,11,0,3,308,275,33,31,2,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,46,13,12,41,24,14,44,6,0,34,10,11,6,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 23","St. Joseph County","Indiana",758,369,312,57,107,205,29,0,0,0,47.6,33300,45000,86400,660,311,16.9,10,NA,26200,15000,NA,NA,NA,NA,NA,NA,733,153,489,0,0,0,92,24,28.4,26.6,28.5,312,196,40,156,116,95,21,135,39,10,6,6,0,95,21,0,0,0,0,0,352,352,245,107,0,246,472300,NA,472300,NA,472300,NA,NA,NA,29,0,0,0,0,0,0,20,11,0,0,0,0,19,20,208,6,31,62,23,14,0,0,0,194,128,66,17,21,28,0,0,30,30,0,0,0,0,0,0,0,0,0,21,49,63,33,29,32,13,17,12,0,33,19,6,6,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 23","St. Joseph County","Indiana",656,377,286,91,162,124,30,0,15,0,21.8,33100,43800,NA,795,233,19.7,18.4,NA,30625,NA,NA,NA,NA,NA,NA,NA,438,156,351,0,0,0,91,58,34.5,29.1,36.3,286,137,43,94,149,128,21,29,83,8,17,0,0,128,21,0,0,0,0,0,223,223,215,8,0,258,513000,NA,513000,NA,513000,NA,NA,NA,0,0,0,0,7,0,0,0,0,34,20,0,64,38,28,159,10,0,30,8,5,4,0,0,199,139,60,60,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,46,73,23,0,7,27,27,5,7,25,46,0,0,0,0,0,NA,NA,NA,NA,NA,NA
